col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
eb509ac3-837d-4153-9c0a-2ffc8bb641bb,2022-01-26T14:46:14,DoorData,False,Door Position,100,76,Floor 5,503,D
af6f88da-695c-4e42-9dc3-d67db8b608ac,2022-01-26T14:46:15,MotionDetect,True,Motion,100,64,Floor 5,503,M
daee4480-be41-48bd-850f-70192a4a3378,2022-01-26T14:46:19,DoorData,True,Door Position,100,83,Floor 5,503,D
afc2ae9f-7bf1-4b82-8eb0-9398114c9982,2022-01-26T14:46:22,MotionDetect,True,Motion,100,84,Floor 5,503,MTH
b96804ef-af52-4bdd-a3c6-83665456cf02,2022-01-26T14:46:28,MotionDetect,False,Motion,100,61,Floor 5,503,M
22294d76-01b6-4f86-8268-fa8eadc90b45,2022-01-26T14:46:39,MotionDetect,True,Motion,100,63,Floor 5,503,M
516177fe-666e-4ca5-baf9-c5d985df5a49,2022-01-26T14:46:54,MotionDetect,False,Motion,100,58,Floor 5,503,M
692c17cd-6751-4de9-866f-fdac27fa35d8,2022-01-26T14:47:06,MotionDetect,True,Motion,100,62,Floor 5,503,M
4015cb8d-0f81-4ba3-9138-1f8bafc22d66,2022-01-26T14:47:29,MotionDetect,False,Motion,100,65,Floor 5,503,M
c84a85d8-21bd-4729-8ee1-4f4caccf307c,2022-01-26T14:47:31,MotionDetect,True,Motion,100,80,Floor 5,503,MTH
bfb4ca62-d99f-4e48-a885-9982ec02ca12,2022-01-26T14:48:11,MotionDetect,True,Motion,100,63,Floor 5,503,M
00cd9af3-a3ca-4672-82fd-8b781137c0d9,2022-01-26T14:48:25,MotionDetect,False,Motion,100,62,Floor 5,503,M
8d01436d-b7c9-4450-ac20-04ea668e507d,2022-01-26T14:51:35,MotionDetect,True,Motion,100,63,Floor 5,503,M
783c4e22-36d8-4d7a-b271-9f59c483c787,2022-01-26T14:51:37,MotionDetect,True,Motion,100,85,Floor 5,503,MTH
0d88c5c2-4bcc-4b15-bd4b-08fa9530ea25,2022-01-26T14:51:51,MotionDetect,False,Motion,100,64,Floor 5,503,M
7875d478-88cc-4d91-8fd0-c4b52b46e0c0,2022-01-26T14:54:21,MotionDetect,True,Motion,100,41,Floor 5,503,M
b935ad3d-0923-4a39-b61f-07b5829a07ce,2022-01-26T14:54:25,MotionDetect,True,Motion,100,79,Floor 5,503,MTH
349c1227-5e86-4175-b672-1a3edf5502d8,2022-01-26T14:54:35,MotionDetect,False,Motion,100,65,Floor 5,503,M
979b6acd-b67a-43f4-8dce-821fef61c08a,2022-01-26T14:54:40,MotionDetect,True,Motion,100,60,Floor 5,503,M
30aeaf26-1282-46bc-8e7a-1a663c121c51,2022-01-26T14:54:50,MotionDetect,False,Motion,100,60,Floor 5,503,M
8b209514-a46e-4892-9214-61567e6d4725,2022-01-26T14:56:26,MotionDetect,True,Motion,100,85,Floor 5,503,MTH
dd4a7dc7-7ec1-463d-a44d-fc071d121257,2022-01-26T15:06:34,MotionDetect,True,Motion,100,72,Floor 5,503,MTH
41943cb5-d807-4199-8eaa-ac75019b44eb,2022-01-26T15:06:34,MotionDetect,True,Motion,100,58,Floor 5,503,M
